method,input_dim,scheme,threshold_ratio,ratio_val_acc,adc_bits,weight_bits,timesteps,val_acc,test_acc
maxpool_8x8,64,B,0.3,0.873,8,3,5,0.8238,0.8344
maxpool_8x8,64,B,0.3,0.873,8,3,10,0.8238,0.8344
maxpool_8x8,64,B,0.3,0.873,8,3,20,0.8238,0.8344
maxpool_8x8,64,B,0.3,0.873,8,4,1,0.8424,0.8515
maxpool_8x8,64,B,0.3,0.873,8,4,3,0.8424,0.8515
maxpool_8x8,64,B,0.3,0.873,8,4,5,0.8424,0.8515
maxpool_8x8,64,B,0.3,0.873,8,4,10,0.8424,0.8515
maxpool_8x8,64,B,0.3,0.873,8,4,20,0.8424,0.8515
maxpool_8x8,64,B,0.3,0.873,8,6,1,0.8242,0.8387
maxpool_8x8,64,B,0.3,0.873,8,6,3,0.8242,0.8387
maxpool_8x8,64,B,0.3,0.873,8,6,5,0.8242,0.8387
maxpool_8x8,64,B,0.3,0.873,8,6,10,0.8242,0.8387
maxpool_8x8,64,B,0.3,0.873,8,6,20,0.8242,0.8387
maxpool_8x8,64,B,0.3,0.873,8,8,1,0.8214,0.8369
maxpool_8x8,64,B,0.3,0.873,8,8,3,0.8214,0.8369
maxpool_8x8,64,B,0.3,0.873,8,8,5,0.8214,0.8369
maxpool_8x8,64,B,0.3,0.873,8,8,10,0.8214,0.8369
maxpool_8x8,64,B,0.3,0.873,8,8,20,0.8214,0.8369
maxpool_8x8,64,B,0.3,0.873,10,2,1,0.6988,0.6829
maxpool_8x8,64,B,0.3,0.873,10,2,3,0.6988,0.6829
maxpool_8x8,64,B,0.3,0.873,10,2,5,0.6988,0.6829
maxpool_8x8,64,B,0.3,0.873,10,2,10,0.6988,0.6829
maxpool_8x8,64,B,0.3,0.873,10,2,20,0.6988,0.6829
maxpool_8x8,64,B,0.3,0.873,10,3,1,0.8234,0.8349
maxpool_8x8,64,B,0.3,0.873,10,3,3,0.8234,0.8349
maxpool_8x8,64,B,0.3,0.873,10,3,5,0.8234,0.8349
maxpool_8x8,64,B,0.3,0.873,10,3,10,0.8234,0.835
maxpool_8x8,64,B,0.3,0.873,10,3,20,0.8234,0.835
maxpool_8x8,64,B,0.3,0.873,10,4,1,0.8416,0.8513
maxpool_8x8,64,B,0.3,0.873,10,4,3,0.8416,0.8513
maxpool_8x8,64,B,0.3,0.873,10,4,5,0.8416,0.8513
maxpool_8x8,64,B,0.3,0.873,10,4,10,0.8416,0.8513
maxpool_8x8,64,B,0.3,0.873,10,4,20,0.8416,0.8513
maxpool_8x8,64,B,0.3,0.873,10,6,1,0.824,0.84
maxpool_8x8,64,B,0.3,0.873,10,6,3,0.824,0.84
maxpool_8x8,64,B,0.3,0.873,10,6,5,0.824,0.84
maxpool_8x8,64,B,0.3,0.873,10,6,10,0.824,0.84
maxpool_8x8,64,B,0.3,0.873,10,6,20,0.824,0.84
maxpool_8x8,64,B,0.3,0.873,10,8,1,0.822,0.838
maxpool_8x8,64,B,0.3,0.873,10,8,3,0.822,0.838
maxpool_8x8,64,B,0.3,0.873,10,8,5,0.822,0.838
